date,number_crimes,prec,temp
2008-01-13,787,0.008950793650793652,42.16125029071458
2008-01-20,743,0.002260241874527589,37.983366812399076
2008-01-27,718,0.001153846153846154,33.490915878546545
2008-02-03,657,0.0032955407969639467,38.048618759990596
2008-02-10,689,0.0065706973741456514,43.034533146674555
2008-02-17,755,0.00017857142857142857,43.06388133573212
2008-02-24,783,0.0,44.080251737509805
2008-03-02,786,0.0016618888358018793,47.13850769523039
2008-03-09,742,0.0005631868131868133,44.696328382469616
2008-03-16,735,0.008451364071860968,44.65133961276818
2008-03-23,738,0.0063179500475326255,44.25203237622593
2008-03-30,813,0.007899135399135398,39.03207110498555
2008-04-06,753,0.001532967032967033,43.4306905313445
2008-04-13,730,0.0015842490842490843,47.908961737187546
2008-04-20,769,0.0034778184778184785,43.11707783236145
2008-04-27,836,0.0012728937728937728,48.52418745275889
2008-05-04,756,0.0026999542124542123,49.93872866635221
2008-05-11,838,0.00017857142857142857,51.090927876526955
2008-05-18,789,0.0013758241758241756,60.26649922444853
2008-05-25,846,0.005689606075761683,57.82457959497807
2008-06-01,838,0.0005612244897959184,56.21374334210263
2008-06-08,805,0.009059039000215471,52.35251981517076
2008-06-15,903,0.0009934065934065935,54.30497798522787
2008-06-22,843,0.0,60.066241496598636
2008-06-29,824,0.0,64.69863831820354
2008-07-06,810,0.0012755102040816326,65.07338732384952
2008-07-13,762,0.0,67.9457671957672
2008-07-20,893,0.0,64.13257862826829
2008-07-27,910,0.0,62.383315251387906
2008-08-03,821,0.002292829775588396,60.709106862733115
2008-08-10,827,0.002238095238095238,66.8291107041107
2008-08-17,801,0.0,71.90238095238097
2008-08-24,797,0.008713345338135255,63.545856711206184
2008-08-31,861,0.0022581585081585085,59.9846822820037
2008-09-07,847,0.0,61.51677258992928
2008-09-14,877,0.0,63.654761904761905
2008-09-21,950,0.0023673469387755107,60.51581724581725
2008-09-28,926,0.0011937467294610151,56.649275418979855
2008-10-05,900,0.00395320197044335,59.12587694755321
2008-10-12,856,0.00252967032967033,50.43433241106053
2008-10-19,874,0.003093796754385815,50.71722231996246
2008-10-26,974,0.00152457757296467,48.829615294393626
2008-11-02,960,0.005669585253456222,52.00865018229515
2008-11-09,886,0.01937773451850532,51.508860714828565
2008-11-16,849,0.005634008392629083,50.166559137797165
2008-11-23,893,0.0021601767797419973,46.349384873690944
2008-11-30,834,0.0012171592775041052,46.57488027469053
2008-12-07,861,0.0009103448275862068,46.46622640425777
2008-12-14,823,0.006762500000000002,40.3901618687333
2008-12-21,659,0.0034111417704526816,27.795262611469507
2008-12-28,610,0.007551791793590349,35.190058158920145
2009-01-04,854,0.009259551250143588,37.77121311867855
2009-01-11,897,0.011276242604321422,45.43253049609388
2009-01-18,881,0.00021164021164021162,40.01332448436559
2009-01-25,853,0.00032380952380952385,35.024018330538176
2009-02-01,916,0.0010217702208803433,38.894682681659425
2009-02-08,838,0.0006656084656084657,41.521656852780346
2009-02-15,752,0.0045241974274232355,38.41953950811094
2009-02-22,767,0.0008333333333333334,42.80842980467041
2009-03-01,717,0.00818695054945055,43.15002551020408
2009-03-08,763,0.006389088622890957,41.97675156792079
2009-03-15,823,0.006503356777493608,38.55594109922634
2009-03-22,766,0.00331386748628128,44.039350206583876
2009-03-29,819,0.0027039508110936685,42.8637188119762
2009-04-05,752,0.006884484563055993,44.98976272404588
2009-04-12,885,0.004558730158730159,50.55867346938776
2009-04-19,797,0.002270408163265306,48.19955483760902
2009-04-26,777,0.0013180272108843539,50.36417620078334
2009-05-03,769,0.005445447409733124,54.02262922262922
2009-05-10,737,0.012829395604395607,51.803832199546484
2009-05-17,850,0.004624542124542126,53.57301223378874
2009-05-24,869,0.007619047619047621,55.35607526881721
2009-05-31,858,0.0,61.87649165649166
2009-06-07,784,4.608294930875576e-05,67.3696200432134
2009-06-14,842,0.0,64.95023286237571
2009-06-21,885,0.0013452380952380953,62.08152725473171
2009-06-28,881,5.952380952380953e-05,62.099915957058805
2009-07-05,798,0.0,68.71520146520147
2009-07-12,819,0.00011904761904761906,64.69229497354497
2009-07-19,871,0.0002285714285714286,68.03340659340658
2009-07-26,931,0.0,69.48797116861633
2009-08-02,877,0.0,78.38287250384023
2009-08-09,898,0.0,64.24087332203352
2009-08-16,883,0.005282930928092219,63.116228051049475
2009-08-23,967,0.0,68.34608843537414
2009-08-30,925,0.0013942307692307694,65.62353479853479
2009-09-06,891,0.009158545727136433,63.35529335946466
2009-09-13,989,0.0004945054945054945,64.72186147186146
2009-09-20,999,0.0024356499356499362,64.1469043856608
2009-09-27,959,0.0,62.06021645021645
2009-10-04,940,0.005566748066748067,53.81289351969076
2009-10-11,893,0.0,52.67734432234432
2009-10-18,933,0.022963867897491587,55.69083164343961
2009-10-25,977,0.0029054279054279058,52.00221766624562
2009-11-01,883,0.011504892726321297,49.82483211233211
2009-11-08,809,0.011170608756323046,48.24524635093553
2009-11-15,899,0.007211791082480738,45.38071928071928
2009-11-22,984,0.023250389457286014,47.89738448988543
2009-11-29,872,0.007473681780404472,48.36976269462792
2009-12-06,832,0.00034285714285714285,38.31745947628301
2009-12-13,841,0.0,28.237244897959183
2009-12-20,1005,0.009974489795918367,46.86237732313769
2009-12-27,875,0.004391534391534392,39.50787050787051
2010-01-03,922,0.004694793301936159,43.51539938556067
2010-01-10,982,0.011101369938656468,46.56404668904669
2010-01-17,967,0.017895787545787543,48.08522485552912
2010-01-24,997,0.002367724867724868,49.380544217687074
2010-01-31,987,0.0021614121510673237,46.68918187964841
2010-02-07,877,0.004974921879719481,47.84094249665678
